origin_id,destination_id,bus_used,trip_id,time,bus_start_time,bus_end_time,bus_riding_time,total_walk,total_walk_time,total_time,walking_score,total_time_score,preference
50,1,0,,34200,,,,431.6695003111266,308.3353573650905,308.3353573650905,0.8280909177407354,0.8280909177407354,min_time
51,1,1,4547549.0,34200,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
52,1,1,4547549.0,34200,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
53,1,1,4547549.0,34200,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
54,1,1,4547549.0,34200,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
55,1,1,4547549.0,34200,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
1,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
2,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
3,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
4,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
5,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
6,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
7,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
8,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
9,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
10,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
11,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
12,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
13,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
14,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
15,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
16,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
17,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
18,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
19,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
20,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
21,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
22,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
23,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
24,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
25,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
26,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
27,1,1,4547549.0,35100,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
28,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
29,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
30,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
31,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
32,1,1,4547549.0,35100,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
33,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
34,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
35,1,1,4547549.0,35100,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
36,1,1,4547549.0,35100,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
37,1,1,4547549.0,35100,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
38,1,1,4547549.0,35100,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
39,1,1,4547549.0,35100,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
40,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
41,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
42,1,1,4547549.0,35100,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
43,1,1,4547549.0,35100,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
44,1,1,4547549.0,35100,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
45,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
46,1,1,4547549.0,35100,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
47,1,1,4547549.0,35100,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
48,1,1,4547549.0,35100,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
49,1,1,4547675.0,35100,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
50,1,0,,35100,,,,431.6695003111266,308.3353573650905,308.3353573650905,0.8280909177407354,0.8280909177407354,min_time
51,1,1,4547549.0,35100,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
52,1,1,4547549.0,35100,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
53,1,1,4547549.0,35100,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
54,1,1,4547549.0,35100,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
55,1,1,4547549.0,35100,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
1,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
2,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
3,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
4,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
5,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
6,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
7,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
8,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
9,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
10,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
11,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
12,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
13,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
14,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
15,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
16,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
17,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
18,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
19,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
20,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
21,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
22,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
23,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
24,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
25,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
26,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
27,1,1,4547549.0,36000,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
28,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
29,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
30,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
31,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
32,1,1,4547549.0,36000,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
33,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
34,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
35,1,1,4547549.0,36000,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
36,1,1,4547549.0,36000,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
37,1,1,4547549.0,36000,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
38,1,1,4547549.0,36000,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
39,1,1,4547549.0,36000,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
40,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
41,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
42,1,1,4547549.0,36000,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
43,1,1,4547549.0,36000,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
44,1,1,4547549.0,36000,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
45,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
46,1,1,4547549.0,36000,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
47,1,1,4547549.0,36000,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
48,1,1,4547549.0,36000,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
49,1,1,4547675.0,36000,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
50,1,0,,36000,,,,431.6695003111266,308.3353573650905,308.3353573650905,0.8280909177407354,0.8280909177407354,min_time
51,1,1,4547549.0,36000,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
52,1,1,4547549.0,36000,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
53,1,1,4547549.0,36000,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
54,1,1,4547549.0,36000,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
55,1,1,4547549.0,36000,37380.0,37434.0,54.0,404.3672502855337,288.83375020395266,342.83375020395266,0.8474481130070948,0.7919917325274116,min_time
1,1,1,4547675.0,36900,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
2,1,1,4547675.0,36900,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
3,1,1,4547675.0,36900,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
4,1,1,4547675.0,36900,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
5,1,1,4547675.0,36900,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
6,1,1,4547675.0,36900,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
7,1,1,4547675.0,36900,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
8,1,1,4547675.0,36900,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
9,1,1,4547675.0,36900,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
10,1,1,4547675.0,36900,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
11,1,1,4547675.0,36900,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
12,1,1,4547675.0,36900,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
13,1,1,4547675.0,36900,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
14,1,1,4547675.0,36900,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
15,1,1,4547675.0,36900,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
16,1,1,4547675.0,36900,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
17,1,1,4547675.0,36900,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
18,1,1,4547675.0,36900,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
19,1,1,4547675.0,36900,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
20,1,1,4547675.0,36900,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
21,1,1,4547675.0,36900,86277.0,0.0,-86277.0,1366.6116033078174,976.1511452198697,-85300.84885478012,0.15097859922554602,0.0,min_time
